Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1;1;Fußball;Nachwuchsleistungszentrum;männlich;19;79.6;184.5;39.1;38.8;110;1.713;2.956;4.128;1.38
2;1;Fußball;Nachwuchsleistungszentrum;männlich;19;68.6;171;41.9;41.9;100;1.706;2.909;4.077;1.46
3;1;Fußball;Nachwuchsleistungszentrum;männlich;19;63.1;172;35.5;37.9;90;1.766;3.006;4.176;1.43
5;1;Fußball;Nachwuchsleistungszentrum;männlich;18;78.1;179;37.7;42.1;80;1.758;3;4.152;1.02
6;1;Fußball;Nachwuchsleistungszentrum;männlich;18;79.2;183;35.6;36.4;80;1.784;3.095;4.342;1.01
7;1;Fußball;Nachwuchsleistungszentrum;männlich;18;69.9;176.5;32.2;37.4;80;1.765;3.055;4.256;1.14
8;1;Fußball;Nachwuchsleistungszentrum;männlich;19;72;182;43.1;43.4;125;;;;1.74
9;1;Fußball;Nachwuchsleistungszentrum;männlich;19;73.5;175;41.5;44.8;110;1.667;2.878;4.019;1.5
10;1;Fußball;Nachwuchsleistungszentrum;männlich;18;65.7;176;36;36;70;1.726;2.93;4.065;1.07
11;1;Fußball;Nachwuchsleistungszentrum;männlich;19;63.5;164.5;43.7;43.5;110;1.687;2.936;4.136;1.73
12;1;Fußball;Nachwuchsleistungszentrum;männlich;19;72.4;181.5;51.1;51.1;130;1.694;2.943;4.131;1.8
13;1;Fußball;Nachwuchsleistungszentrum;männlich;18;68;177;42.8;46.3;100;;;;1.47
14;1;Fußball;Nachwuchsleistungszentrum;männlich;18;62;175.5;33.7;36.9;85;1.709;2.934;4.141;1.37
15;1;Fußball;Nachwuchsleistungszentrum;männlich;19;67.8;175;35.6;38.1;95;1.797;3.086;4.323;1.4
16;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72.1;172.5;41.5;44.8;100;1.7;2.919;4.071;1.39
17;1;Fußball;Nachwuchsleistungszentrum;männlich;19;79;187;40.9;45.9;130;1.725;2.941;4.083;1.65
18;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.8;187;28.8;33.1;60;1.793;3.073;4.281;0.8
19;1;Fußball;Nachwuchsleistungszentrum;männlich;18;74.5;179;41.8;42.8;125;;;;1.68
20;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72;176;36.9;37.4;110;;;;1.53
21;1;Fußball;Nachwuchsleistungszentrum;männlich;17;72.3;183;37.6;40.2;100;1.638;2.818;3.916;1.38
22;1;Fußball;Nachwuchsleistungszentrum;männlich;19;78;176.5;33.9;34;100;1.733;2.982;4.16;1.28
23;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.8;183;34.5;40.1;95;1.816;3.089;4.317;1.27
24;1;Fußball;Nachwuchsleistungszentrum;männlich;18;75;176;37.9;38.5;110;;;;1.47
25;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.9;177;34;36;105;1.796;3.087;4.347;1.48
26;1;Fußball;Nachwuchsleistungszentrum;männlich;18;78.8;176.5;40.2;44.7;125;1.651;2.904;4.096;1.59
27;1;Fußball;Nachwuchsleistungszentrum;männlich;18;71;166;40.6;40.5;110;1.767;3.026;4.238;1.55
29;1;Fußball;Nachwuchsleistungszentrum;männlich;17;84;185.5;45;48.8;120;1.756;2.99;4.164;1.43
30;1;Fußball;Nachwuchsleistungszentrum;männlich;17;66.7;184;34.9;36.8;100;1.707;2.943;4.122;1.5
31;1;Fußball;Nachwuchsleistungszentrum;männlich;18;74.8;179;38.8;41.6;110;1.76;3.026;4.216;1.47
32;1;Fußball;Nachwuchsleistungszentrum;männlich;17;75.2;179;32.2;32;90;1.756;3.041;4.283;1.2
33;1;Fußball;Nachwuchsleistungszentrum;männlich;18;72.8;171.5;45.6;45.4;125;1.687;2.91;4.075;1.72
34;1;Fußball;Nachwuchsleistungszentrum;männlich;17;78.5;187;39.2;41.2;120;1.72;2.941;4.086;1.53
35;1;Fußball;Nachwuchsleistungszentrum;männlich;17;79.8;188;43.8;46.5;110;1.733;2.967;4.151;1.38
37;1;Fußball;Nachwuchsleistungszentrum;männlich;18;70.2;172.5;38.1;44.4;105;1.743;2.998;4.183;1.5
38;1;Fußball;Nachwuchsleistungszentrum;männlich;18;92;185;39.9;39.8;95;1.85;3.167;4.427;1.03
39;1;Fußball;Nachwuchsleistungszentrum;männlich;16;65.7;182;35.3;36;80;1.71;2.953;4.094;1.22
40;1;Fußball;Nachwuchsleistungszentrum;männlich;16;74.9;177;32.9;38.8;80;1.789;3.055;4.275;1.07
41;1;Fußball;Nachwuchsleistungszentrum;männlich;17;69.2;174.5;34.4;36.2;100;1.78;3.047;4.245;1.45
42;1;Fußball;Nachwuchsleistungszentrum;männlich;17;72.5;184;42.8;47.5;100;1.766;3.048;4.312;1.38
43;1;Fußball;Nachwuchsleistungszentrum;männlich;17;76.1;176;35.2;33.5;95;1.824;3.138;4.388;1.25
45;1;Fußball;Nachwuchsleistungszentrum;männlich;15;70.7;180;33.9;36;60;1.783;3.093;4.332;0.85
46;1;Fußball;Nachwuchsleistungszentrum;männlich;16;66.3;176.5;35.8;36.3;100;1.7;2.938;4.138;1.51
47;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.9;182;37;38.4;105;1.716;2.988;4.185;1.48
48;1;Fußball;Nachwuchsleistungszentrum;männlich;16;74.6;186;39.9;41.3;105;1.724;2.954;4.113;1.41
49;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64.3;167;29.8;40.9;80;1.712;2.947;4.109;1.24
50;1;Fußball;Nachwuchsleistungszentrum;männlich;17;65.2;175.5;50.5;50.6;130;1.617;2.812;3.916;1.99
51;1;Fußball;Nachwuchsleistungszentrum;männlich;17;67.3;174.5;47.2;47.4;125;1.629;2.803;3.924;1.86
52;1;Fußball;Nachwuchsleistungszentrum;männlich;17;71.2;178;38.1;40.5;100;1.732;2.976;4.148;1.4
53;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64.6;165;39.2;35;;1.737;3.033;4.236;
54;1;Fußball;Nachwuchsleistungszentrum;männlich;17;89.8;190;36.9;38.1;110;1.774;3.042;4.242;1.22
55;1;Fußball;Nachwuchsleistungszentrum;männlich;17;60;166;34.2;35;85;1.792;3.093;4.337;1.42
56;1;Fußball;Nachwuchsleistungszentrum;männlich;17;64.7;177.5;37.6;39.7;100;1.737;2.962;4.131;1.55
57;1;Fußball;Nachwuchsleistungszentrum;männlich;17;74.7;184;39.8;41.8;115;1.626;2.849;4.001;1.54
58;1;Fußball;Nachwuchsleistungszentrum;männlich;17;70.3;185.5;42.3;44.4;90;1.728;2.982;4.184;1.28
59;1;Fußball;Nachwuchsleistungszentrum;männlich;17;82;184;42.6;44.1;120;1.765;2.976;4.127;1.46
60;1;Fußball;Nachwuchsleistungszentrum;männlich;15;64;185;29.2;35.2;75;1.745;3.054;4.292;1.17
